movie_name,ranking,score,score_num
这个杀手不太冷,1,9.4,1211108
七武士,2,9.2,99244
蝙蝠侠：黑暗骑士,3,9.1,484046
指环王3：王者无敌,4,9.1,384792
搏击俱乐部,5,9.0,498331
指环王1：魔戒再现,6,9.0,404534
指环王2：双塔奇兵,7,9.0,361151
将军号,8,9.0,10525
黑客帝国,9,8.9,384130
攻壳机动队,10,8.9,74299
V字仇杀队,11,8.8,570983
勇敢的心,12,8.8,359838
乱,13,8.8,42720
黑客帝国动画版,14,8.8,34081
用心棒,15,8.8,17943
桥,16,8.8,13762
攻壳机动队SSS,17,8.8,10688
让子弹飞,18,8.7,841228
头号玩家,19,8.7,709408
加勒比海盗,20,8.7,461554
谍影重重3,21,8.7,230181
蜘蛛侠：平行宇宙,22,8.7,206812
纵横四海,23,8.7,198703
枪火,24,8.7,121284
东邪西毒：终极版,25,8.7,110600
极速风流,26,8.7,93306
精英部队2：大敌当前,27,8.7,51555
蝙蝠侠：黑暗骑士归来(下),28,8.7,18677
椿三十郎,29,8.7,10857
铁达尼号沉没记,30,8.7,5028
阿凡达,31,8.6,697116
超能陆战队,32,8.6,496106
蝙蝠侠：黑暗骑士崛起,33,8.6,371886
东邪西毒,34,8.6,324909
被解救的姜戈,35,8.6,320221
疯狂的麦克斯4：狂暴之路,36,8.6,256797
英雄本色,37,8.6,238713
黑客帝国3：矩阵革命,38,8.6,199559
谍影重重2,39,8.6,198461
终结者2：审判日,40,8.6,177943
勇闯夺命岛,41,8.6,168506
黑鹰坠落,42,8.6,149814
恶童,43,8.6,52344
宾虚,44,8.6,21838
敲开天堂的门,45,8.6,10411
西线无战事,46,8.6,9026
大菩萨岭,47,8.6,6262
碧血金沙,48,8.6,4671
落叶,49,8.6,4399
谍影重重,50,8.5,237449
小萝莉的猴神大叔,51,8.5,231930
新龙门客栈,52,8.5,231898
黑客帝国2：重装上阵,53,8.5,176739
启示,54,8.5,51957
正义联盟：闪点悖论,55,8.5,15002
杀死比尔整个血腥事件,56,8.5,12523
蜘蛛巢城,57,8.5,10960
侠女,58,8.5,10677
午夜狂奔,59,8.5,10074
最长的一天,60,8.5,8127
兽兵卫忍风帖,61,8.5,5791
盗信情缘,62,8.5,3934
死亡的游戏,63,8.5,2437
通往自由的通道,64,8.5,1774
笔中情,65,8.5,1434
王牌特工：特工学院,66,8.4,416732
变脸,67,8.4,252952
速度与激情5,68,8.4,241542
无间道2,69,8.4,204607
